order_id,product_id,order_date,quantity,revenue
O_4329,WATED8HNQGUFBNFT,13-11-2025,5,270
O_988,WATEBYZGFCZPUJAR,18-03-2025,16,1087
O_6553,SHOEA4HADYGNUZFM,09-02-2024,3,4218
O_4698,SHOEBYZGZ682N4K2,20-05-2024,7,6779
O_357,WATECFFVGFZPAD3D,16-05-2024,43,9874
O_1358,SHOED5DCYU8HWRDH,16-07-2024,17,4796
O_3648,SHOE2ZNGYDECUGNG,14-04-2024,9,8541
O_9912,WATECHFU4QGFQEJG,10-07-2025,12,1038
O_7996,SHOE2FBZENEBCZZD,10-09-2024,3,2138
O_4486,WATEA6UGFGKZKDJC,24-07-2025,31,839
O_5345,SHOE6ZQEB694PVM8,08-12-2025,35,4601
O_6474,SHOEBKEYTHTVCMNX,07-03-2024,23,6779
O_8968,JEAEBMSEEGG26RPV,22-03-2024,3,788
O_5679,SHOE3S9BZ4SJUJFY,18-05-2024,40,8524
O_2831,SHOE6ZQE7K9W3ZX3,10-05-2025,4,2333
O_9471,WATEBVHAWSYYS8EY,13-03-2024,18,92
O_999,SHOEBHZA5BXBKRDC,15-04-2025,24,9628
O_5,WATE9DX9E4YSRJSY,06-05-2025,3,216
O_1660,SHOE4UC3MJZF3VFJ,10-06-2024,47,5461
O_7060,SHOEDH9AS48SSFBT,07-06-2025,34,6537
O_5127,WATECGPSDSFRHUSY,15-04-2024,10,6203
O_1902,SHOEC8QGWFF2VXAN,07-07-2024,25,9543
O_2445,SHOEF9G8EWYMM2AM,14-05-2024,3,5391
O_1227,SHOEF9G8X3SG6GHX,26-04-2024,26,1031
O_8662,WATED8GHH7HRVGRK,09-06-2024,40,4192
O_9074,SHOEF9G8ZHHCMHTW,20-06-2024,31,8786
O_7536,SHODUMFYM8ZHSJBG,15-12-2025,16,9898
O_7289,WATE4CG2AQAGWGSF,16-09-2025,8,5397
O_1994,SHOE2FQCKJDCP9ZW,25-10-2025,25,2915
O_9278,SHOED5DC2GSMQMHU,01-08-2025,25,8615
O_2475,WATEBYZGCFGUP9HG,27-11-2025,16,6264
O_4918,JEAE9PP49AH6PQCW,24-03-2024,23,9276
O_7845,SHOE3S9BGUAGYE5X,16-03-2025,11,3289
O_4445,WATE3GEY74QU9T35,11-07-2025,6,8766
O_2111,SHODUMFYYW5YGRQN,26-02-2025,15,206
O_856,WATEAK8SE2RUK7GM,29-04-2025,37,2532
O_3315,SHOEYGK5AYYBVXKH,05-09-2024,38,9099
O_7095,SHOEFZ37XDUHHTZW,26-06-2024,12,6387
O_4377,WATED53FKKH4S8E4,25-10-2024,7,1590
O_5420,WATEBMY8HWCHMZZ5,25-12-2024,22,9527
O_7371,SHOECS7FBGSEPW9G,04-04-2024,48,8857
O_4056,SHOEFMRZQXHJREHH,08-04-2025,2,6141
O_9664,SHOE69E6HYVG8MKU,10-11-2025,25,8452
O_4843,SHOE4KACKB28FTHD,04-03-2025,19,482
O_8535,WATDZDGRQBXTKHPW,24-10-2024,18,171
O_7853,WATEBH9BTJXD8UVV,09-11-2024,37,738
O_5264,SHOE2GUHSZRGGZYY,03-10-2025,29,7539
O_1827,WATDUK7DKXV8WCAW,26-11-2025,48,6564
O_1927,WATECSW5VZSZETGS,29-06-2024,7,9553
O_6693,WATE9R7HUBNEKXRQ,21-01-2025,43,4238
O_621,SHODWMHHCXTD47NQ,05-08-2025,49,3307
O_3349,WATEBJ37KBB3SEBR,28-10-2024,4,8367
O_968,SHOECT5VY7CWRY4G,22-04-2024,2,9043
O_3981,WATEAYYG5EDFWTCS,19-02-2024,6,8794
O_4744,JEAEDJXQXQZ8TMTU,21-12-2025,7,3867
O_4911,SHOECXPMAQXZ3QPH,04-07-2025,46,1558
O_1566,SHOEF9G8CVWHRH5M,07-04-2024,35,3277
O_9419,WATE2RX9CHBGEDRC,24-06-2024,50,9814
O_2209,SHOEFMRZZAXFQW4F,29-05-2024,24,3729
O_6599,SHOEC9FZ3BAF7ASF,07-08-2024,17,9110
O_9907,WATEDBVHQ6AJX7N9,19-01-2024,15,2403
O_1713,SHOECSWQCEZRR82X,08-01-2024,43,8595
O_7733,SHOE8SESVWJYNH37,01-12-2025,32,3444
O_602,WATEDFHARG4YSPCA,12-02-2025,46,4325
O_5800,SHOEF9G8Z4ZXF6WE,10-11-2025,4,9627
O_8808,WATDUHDBDTTVEMWS,18-08-2025,42,3580
O_1338,SHOEC9FZGGD6GJRV,24-09-2025,32,6511
O_2173,WATECDDDQ7SFDD6K,06-02-2024,6,3186
O_8172,SHOE9UDJKNVSDH72,13-11-2024,15,8809
O_2829,JEAE6YUTDBH6DCPK,11-07-2024,14,8112
O_7663,SHOE6DVYGT9ZHBUY,11-05-2024,15,1155
O_2049,WATECSYFBDTEVR5V,27-01-2025,18,7039
O_8586,WATEAYZJBFJXB4FZ,15-06-2024,34,6927
O_1152,WATE6GAQSZYB3FKY,07-10-2024,18,528
O_9282,SHOEBKEYSKS87GKG,05-11-2024,50,2025
O_4548,SHOEC898KWFVFESU,11-06-2024,35,607
O_6321,SHOEDHHSRF6FMWGA,08-09-2025,39,8519
O_601,WATECZKY7QX38DNH,17-07-2024,9,7204
O_652,WATE9MVXX3DZ5UKD,21-07-2025,10,6232
O_9294,SHOEF9G8WTWGAAFB,11-10-2024,32,9378
O_2862,WATED3ZJHMGJQ8EY,11-12-2024,3,9759
O_6518,SHOECXPHZSFGQEZZ,26-12-2024,45,7724
O_1591,SHOEBZ65KFSBZKBT,02-03-2024,45,318
O_6322,SHOE2GUJW6XNFG3W,26-01-2025,9,4748
O_6956,WATECF8ZMJRTGZVK,26-06-2024,1,2100
O_8077,SHOEAPCYWEAFSFU5,09-06-2025,3,7591
O_8026,JEAE8CZGJ8PGGHRQ,30-12-2025,41,6999
O_4421,SHOE3TZMQHKWG7TT,11-10-2025,6,1227
O_5044,SHOEBG6ZS2YREWHD,01-02-2025,43,1634
O_359,WATDZ9CEZAQHHTZ6,13-04-2024,38,9853
O_1121,SHOEFZXRNYJKPPYG,20-11-2025,22,5411
O_5306,WATEAUABHVPGRBAS,03-03-2025,32,153
O_6563,SHOE2ZNGUCA4DHHP,18-03-2025,46,6774
O_4576,SHOECS7EXZXZSWHW,19-07-2024,3,1311
O_2888,WATE9M3RRRKZK4FD,18-01-2024,6,6482
O_3077,SHOECB92BGNGSZGZ,25-06-2024,11,3900
O_8918,WATE695YXNTDWTE8,20-03-2025,32,7920
O_7360,SHOECJD5WVAGAJEH,21-12-2025,47,8021
O_7040,SHOEFAJ5TYC2JMCH,28-07-2025,42,136
O_9032,WATE8B5KWSTMZK7P,09-12-2024,49,9782
O_2387,SHOEF9G8NSYGZW8W,09-01-2024,37,1168
O_8428,SHOECBN4QGZECV6F,29-06-2025,29,1816
O_6068,WATE9MVXHMTCFZSP,17-08-2025,30,8556
O_8506,SHOEFHP6DMKFTPHQ,11-02-2025,34,4375
O_4844,WATECDB6HPXBVXCF,15-08-2025,44,6500
O_2600,WATDQZGHD8QYYXTQ,19-12-2025,48,3281
O_6280,SHOEC8QGMZ3UJFTG,01-04-2024,48,6411
O_2300,SHOECS7GMGV2HHYE,27-06-2025,18,6525
O_3682,SHOEC9FZZGGADEFJ,18-09-2024,28,1171
O_2365,SHOECXZEHUBBZYJV,26-09-2024,19,7467
O_6751,SHOE2FQCMD3TAYMF,07-04-2024,14,3947
O_5439,WATDUKHHH4SQXDAK,22-04-2024,18,6902
O_2820,SHOEDD2H6ZHT9YNQ,13-02-2025,11,7456
O_6200,SHODUMFYWTPDYNX6,20-12-2025,30,3867
O_3552,WATECVGYJXPGREKD,29-09-2024,27,4276
O_8358,SHOEBFYWECAPUEXE,31-12-2025,50,5430
O_2642,WATEDFZPGGZG8HGM,29-05-2024,32,6829
O_626,SHOECV4SKFKBN8QQ,12-05-2024,10,1344
O_7363,WATEBFPXFYMWJGJZ,18-12-2024,26,1256
O_6011,SHOE6ZQFRGNTW8JX,09-04-2024,2,8268
O_1688,WATEBD3FJNXFXSBH,06-03-2024,47,9898
O_6462,SHOE3URGYEVZ55GD,18-12-2025,4,6959
O_7725,WATEB5EZRN3NYXAG,18-09-2024,45,9826
O_4116,SHOE2FQCR89ZNN8W,15-01-2025,38,4703
O_9342,SHOEBG6ZGRJ9BGGN,09-02-2025,28,906
O_843,WATE9MVXDEVHGHAU,26-05-2024,8,8810
O_9105,SHOECKEYCF73BXZX,02-01-2024,6,1156
O_9282,WATECSW5XEYZW3G6,03-01-2025,3,7063
O_3036,SHOEBG7YXR7GHBHM,20-02-2025,43,4236
O_397,SHOE3S9BGW4GGEFJ,03-07-2025,45,5006
O_8382,SHOEBYWSZ4ZRNQPU,03-03-2025,38,4737
O_5896,SHOECK2F25ZZS6GG,25-04-2025,36,9557
O_8818,SHOECXZEFH55CZT9,31-10-2025,28,351
O_2778,SHOE56UUZKFVHXYP,28-02-2025,20,1404
O_6604,WATE9CFHPAEU3G4B,08-04-2024,27,7487
O_310,SHOE8NA5SUXGYGYY,25-03-2024,4,5695
O_9997,WATE9WKSHRYTM2PP,01-07-2024,38,6035
O_2316,SHOEF9G8GXBDSEUG,20-06-2025,37,4329
O_6255,WATEBNXNMQQQFSQG,27-12-2024,23,741
O_8160,SHOE356K9ZRUHW5N,04-04-2024,4,4391
O_9043,WATEBS25GGVJ87KF,14-10-2025,49,4678
O_9273,SHOEA4HAJ8FZ5HCX,04-05-2025,28,9655
O_7858,SHOED5DCSTQKZCGF,20-12-2025,36,6793
O_5661,SHOE92ZZVRNZHNSB,01-12-2025,24,1815
O_7775,WATECGG4W76YEBUB,01-11-2025,49,6996
O_7079,SHOEBZ3DYJZDTGAP,05-09-2025,5,1052
O_673,SHOE3S9B2TDHEQDU,08-09-2024,49,9962
O_4744,WATECQHN32HEEQGY,06-09-2024,40,9697
O_9207,SHOE2GUGZGFYZHEY,21-11-2025,29,5128
O_883,WATE8GDGPNKRTURP,18-04-2025,46,9618
O_5716,SHOEFSE2WAFKZFHX,21-07-2025,36,9622
O_8394,WATECE855W5YFE3H,16-01-2024,47,7561
O_138,SHOE4HKYRFPHCJWX,02-02-2024,16,7089
O_2624,WATDQZGHJ9ARVGGK,20-01-2025,18,9729
O_3691,SHOEC8QGTYTSYHRC,29-01-2024,18,1749
O_8636,WATECKRBTUPHUXPC,13-08-2025,50,6015
O_162,SHOE2K68QHZ3DWZF,07-02-2024,31,690
O_8361,SHOEFMRZZEBCGEJT,29-10-2024,41,3157
O_5513,SHODUMFYWHFYZRPY,13-06-2025,45,3168
O_8029,WATE68H5CT3JRKEZ,02-06-2024,33,6872
O_4544,WATEBYJABFE8WYTN,22-03-2025,45,8552
O_8993,SHOECSWQHDGU3DUC,19-09-2025,24,2511
O_2832,WATECSW5DJ3UBZYT,20-03-2025,39,4494
O_8945,SHOEC9FZ7W9HTAQG,26-04-2025,41,6921
O_2596,WATDXN6HPRHJ5H3A,26-04-2024,27,231
O_8807,WATEC87GMAMZAMWA,20-08-2024,3,5998
O_6003,SHOE4JCEZDRSHC4S,15-09-2024,30,8132
O_1649,WATE3GEYE8JQT7WM,05-11-2025,3,8375
O_566,SHOEBN3FFYG75P3D,16-02-2025,29,5769
O_2090,WATEATZUJHKHH59V,12-11-2024,41,5689
O_9312,SHOE3URGKNFYXDGP,13-12-2024,10,5271
O_6694,WATE9MVXJXHZHEJU,29-12-2024,4,7535
O_8776,SHOEBYWT3QBBAVXJ,07-12-2024,44,338
O_7386,SHOE2HYSVYWTPJYF,02-08-2024,44,1633
O_6709,SHOEBYY4ZDWGQGEW,11-10-2025,7,1973
O_8179,SHOE3S9BYE5XWSKS,13-09-2025,29,8328
O_3107,WATEBGPF2YN8ZRHN,01-10-2025,13,244
O_4381,SHOECD7Y2Q4ZZRDF,21-06-2024,12,2003
O_6119,SHOEC8AYVM7NFH6U,03-12-2024,11,841
O_5192,WATEB2FZUMQU4W7R,13-05-2024,45,8110
O_9225,SHOEC8QGS3H5XRKD,26-03-2025,16,4451
O_6492,WATDG487YZTHEJZZ,21-03-2025,18,2468
O_9716,WATEBS5YABDG6ART,02-06-2024,42,9146
O_9461,SHOE2NKQ4NXGAMYX,18-01-2025,2,6701
O_1731,SHOE2FQCEAQCPYTS,15-03-2024,26,7849
O_7638,SHOE6ZQDA5GGTYHS,17-02-2025,12,3084
O_5405,WATECKYCCMXUQQMS,10-06-2025,17,3606
O_8310,SHOED6K6Z3G5DCGB,02-01-2025,28,7377
O_3169,WATEAYPYDEVBVHJ6,08-11-2025,40,2644
O_2731,SHOEC8QG3CV6YYDJ,22-06-2024,42,4813
O_2584,WATECYMJPRYH8D3E,26-01-2024,22,964
O_8915,SHOE32FUXGXGBB5Z,28-08-2024,2,7025
O_2514,WATE7YW5EWWECCEM,07-09-2024,6,307
O_1427,SHOEF9G7ZES6C5HU,09-09-2024,10,7039
O_7978,WATEBSZUTGAQBCFN,08-04-2025,20,6239
O_1664,WATDZDSVWQRRGERC,15-02-2024,17,7465
O_9916,SHOEFHKHHVGZQ9FY,17-04-2024,45,9232
O_4892,BALEGFWGYHBSY4UE,09-03-2025,45,3334
O_9170,BALEGFXZGSRGJKJY,08-05-2024,18,9373
O_7903,BALEGFWE2Z7GTDMS,19-12-2024,30,4450
O_1680,BALEGFXZZ3MRZYVC,16-10-2025,29,5366
O_640,GVEEJ8HYZGXTNYYH,08-09-2025,6,2010
O_9685,DSTEJJ8VGMGUFVWF,01-10-2025,33,6579
O_6988,CAPEHXTRYTBBN2QK,22-05-2025,15,7431
O_6912,WADECHFGPKW3DHDX,03-08-2025,12,8792
O_4925,GVEEJ8HYPD9KYQ3H,23-03-2025,22,8192
O_7554,DSTEJJ8VUGD5ZWVY,13-06-2025,30,315
O_7101,DSTEJJ8UB6GWJWFX,23-04-2025,14,4877
O_2513,KITEGFBDSYZSVBKB,04-05-2025,37,3827
O_7077,DREEJ3V5R9GQJNSY,29-02-2024,13,7359
O_6517,ABQEJ7YQTNQGMXZV,10-06-2024,13,909
O_2246,ACCEJGYYMTQR4JXY,24-01-2024,14,7319
O_6633,MTYEJJAQYHCNKYZZ,19-10-2025,44,6754
O_5498,DSTEJJ8UAQSHGFDV,24-10-2025,44,4060
O_2854,DSTEJJEXFWXKBDYM,02-08-2025,32,8008
O_8188,DSTEJJ8UFYUTSZ3F,07-07-2024,15,2926
O_877,SHOEJKK3VZGHMT6T,20-06-2025,20,1606
O_2507,SHOEJGFU7RXZXFEM,18-03-2025,3,6876
O_5218,DCVEJHVEMXYT6UF6,08-10-2025,47,1884
O_979,ACCEJGYYYCGETMGA,11-09-2024,13,5042
O_2814,BBAEJK8Z5UD97GTP,14-09-2025,16,7257
O_1887,BBAEJKEBQGU5CPUT,13-09-2024,28,2123
O_9123,KITEEVFDJDZ2ANQG,25-03-2024,38,8143
O_3484,BBAEJKEC2HXUHKQE,05-11-2025,4,7708
O_158,MTYEJKESAJVRTGSS,11-06-2024,20,4490
O_3286,SWSEJFF8Z9DSYYGF,06-04-2024,47,1985
O_6847,BBAEJKEAE2TT5M5R,25-02-2024,6,818
O_2454,BBAEJKECZ2ZNAUZQ,10-02-2025,37,4024
O_923,MDYEHDH9HMZPANGJ,23-03-2024,44,3547
O_2333,CLTEHE9FNRZSJGNB,05-06-2025,39,5238
O_6163,CLTEHE9FHWMCHUMM,05-07-2024,8,7824
O_9086,SHOEH76627H5HRHM,01-02-2025,41,8947
O_1852,SCFEHFMHWZNYMH9C,12-02-2024,41,1326
O_8936,SHOEH7622HVGTZUF,15-07-2025,47,9107
O_7493,SHOEHE7C7X5FZYMF,10-08-2024,8,7553
O_9835,CLTEHE9FS4UCYDGH,24-11-2024,12,5456
O_4971,SCFEHBHXDGDY4FHQ,23-01-2025,17,5510
O_6922,SCFEHDJKTM826ZRA,18-11-2025,26,8400
O_1938,CLTEHE9GGXJKCWCV,19-11-2025,5,573
O_7051,SHOEFPCBUQHV7YUG,16-04-2025,24,3039
O_1318,CLTEHE9FD2APDRWQ,30-05-2025,49,9713
O_4571,CLTEHD75ANYWYAAY,15-05-2025,14,6116
O_9091,SHOEHEP5EWSGZ7XA,09-02-2024,38,4177
O_1110,CLTEHE9FDPYN5TQ3,01-04-2024,5,7712
O_9415,CLTEHE9GYYY2P7AN,11-07-2024,14,104
O_7096,SHOEHEP5H5XGFZJY,06-01-2024,16,3318
O_8469,SCFEHDK7XFHAAZZZ,24-05-2024,43,9571
O_9849,CLTEHE9FNVRTJUGS,19-10-2024,18,8114
O_2214,CLTEHE9FKGAZSNXR,02-01-2024,18,2899
O_2605,CLTEHE9FJRKY7HKR,30-09-2025,36,1581
O_7621,CLTEHD6AQ4CW7AWU,23-06-2024,44,3093
O_1859,SHOEHDMYWZNYA7HH,26-12-2025,8,5635
O_1204,CLTEHE9FC9GPHNF2,06-05-2024,50,3621
O_8711,DREEEYGRYGXYB9BU,04-04-2025,36,9802
O_373,CLTEJCK7KMJKN5HJ,18-01-2024,13,6729
O_1656,CRNEJCC5YHEWAQ7B,02-05-2024,5,8493
O_4342,WCTEHU6FYRC6WWCG,01-04-2025,9,1075
O_1389,SGEEHXRHX7CVWD59,15-06-2025,26,3401
O_9626,SGEEHXRHQUQMNNVZ,05-12-2025,44,6159
O_5381,PSLEAVTQQXEXZYYZ,11-02-2024,32,8154
O_1783,AIRE9B8EKTNR8J4B,29-10-2024,15,9955
O_316,TOPEBCJF2D8JB3RG,13-07-2024,9,3136
O_6612,TOPEC89ZP7VSJGZK,16-10-2025,24,3376
O_6914,TOPEDDV9USBFWGPZ,08-04-2025,20,9650
O_6672,RNGE7Z9NKQU2CEVJ,09-08-2024,45,5361
O_2470,RNGE7Z9NHKZPRSEE,16-09-2024,14,2524
O_641,RNGE7Z9NAEWGKG5A,30-01-2025,23,5601
O_5669,CAYECGPSFMSBYTCF,22-05-2025,32,8077
O_5065,RNGEAWYFMVWZUEWE,04-01-2024,32,2323
O_4054,TOPE5PHFZHVEY42Z,04-04-2024,23,4545
O_3225,RNGDWKZM5ETTQGGU,17-01-2024,50,4706
O_956,SHOE7DJBEPYGQPHF,03-08-2025,7,633
O_4572,DREE92AQQFDRUFAN,15-02-2025,5,3203
O_5775,DREDZ7F5H5WNGXWS,04-10-2025,41,4351
O_2311,SHTEDFFJMHZWSYT2,09-06-2024,38,9512
O_8443,SHIE9WHT4M9FHMB5,13-10-2025,17,9084
O_9245,RNGE864HRSHWNANE,22-01-2025,36,4794
O_1887,RNGDWKZNGUHGKETQ,19-05-2024,49,1547
O_2093,DREE6G7MEUW3MM6Z,05-03-2025,9,8104
O_3815,DREE9C3NKTNUCWSN,05-01-2025,22,1735
O_4581,SHTEE72RZN4TVPUY,23-10-2024,43,8579
O_4759,SHTEE72RCD7G7D2N,30-05-2025,46,5935
O_8241,SHTEE72RA42KXW2S,28-01-2024,19,4269
O_3767,SHTEDVZRHNGYYMES,19-07-2025,14,8721
O_7895,KRTEBFRQD4VMTPYK,24-04-2024,39,8098
O_7915,KRTEBFRQEW73G6BA,10-04-2024,2,5185
O_2784,TOPEDCHAAH2UHQSR,21-08-2025,37,1987
O_3445,TOPEBS26V3JRYSF3,27-11-2024,1,420
O_6737,TOPDZGV8GUEXZNUT,30-07-2024,35,6668
O_4627,TOPEAZ88AGF3KJHS,30-03-2024,31,1585
O_4260,TOPEBN32XAZ62CTR,13-05-2025,40,7410
O_1814,TOPECEG3APNWUZWP,22-01-2024,16,8545
O_1808,TOPECBAAP9HW5VMH,07-07-2024,44,8115
O_219,TOPEC8APK93YCFZZ,17-04-2024,33,1254
O_7681,TOPEC8ANUJ92WJYZ,17-01-2024,23,3707
O_3217,RNGE864HPZG96WNH,25-11-2025,40,6135
O_6262,RNGE9GWPJH9MMNWX,24-10-2025,50,4721
O_8886,TOPE954FJHYUHWDY,16-01-2024,1,619
O_6347,TOPE954FWJHG3WDZ,17-09-2025,20,1591
O_1942,TOPE954FF9KJSZZN,17-01-2024,1,4250
O_7225,TOPE8DPRTAKVHKRW,29-06-2024,7,3450
O_6171,TOPE954FERN5VZYH,13-12-2025,48,7692
O_1356,TOPE8DPRAU6DCFKN,26-02-2025,14,7506
O_2590,TOPE954FNTYZQVFZ,08-12-2025,30,7391
O_3996,TOPE954FHVFSGAQF,01-11-2024,28,5968
O_7726,TOPE954FVTRCRXUN,27-01-2024,40,3320
O_2117,TOPE954F2MKDZFTF,03-07-2025,18,4704
O_8248,TOPE8DPRGZBFCGFG,03-12-2025,42,8464
O_4803,TOPE8DPRUWZRK9WM,19-11-2024,42,3235
O_790,TOPE8DPRZK96BY25,06-08-2024,28,3505
O_6785,TOPE8DPRCZ3PC3RM,16-09-2025,15,2270
O_5197,RNGEA9ZXDDFHAVMZ,23-01-2025,12,9611
O_5814,RNGE87FCHF9VVZPN,14-09-2024,29,3902
O_3886,RNGE864HSZNYXZCG,28-07-2024,9,9074
O_5082,TOPE8VYAKS4VQAN8,04-07-2024,18,5904
O_2443,TOPE7DNYTYVKXH8X,15-01-2024,40,1578
O_3174,RNGE88FQ5SDTSFY7,25-08-2024,10,7900
O_4945,TOPE7FR6ZHSKHFQZ,07-12-2024,36,897
